Commune,Code Insee,url,Catégorie,Population,Site,https,Serveur,Version du serveur,Application,Version de l'application,Langage,Version du langage,Latitude,Longitude
Mareuil,16208,http://www.mareuil.e-monsite.com,Pas à jour,406,oui,non,Apache,2.2,WebSee,Inconnue,php,5.4.12,45.772459738139801,-0.136251924568557
Mareuil-lès-Meaux,77276,http://www.mareuil-les-meaux.fr,Niveau de sécurité incertain,2194,oui,non,IIS,7.0,Inconnue,Inconnue,asp.net,Inconnue,48.923431206362999,2.869531747040040
Mareuil-sur-Cher,41126,http://www.mareuil-sur-cher.com,Pas à jour,1123,oui,non,Apache,Inconnue,Joomla,1.5,php,Inconnue,47.275530603770697,1.303634962168640
Mareuil-sur-Lay-Dissais,85135,http://www.mareuilsurlay.fr,Informations masquées (vulnérabilités pas exposées),2737,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,46.533625913773498,-1.226858164504610
Margaux,33268,http://www.mairie-margaux.fr,À jour,1506,oui,non,Apache,2.2,SPIP,2.1.26,php,Inconnue,45.046479040024700,-0.671521589048637
Margencel,74163,http://www.mairie-margencel.fr,Informations masquées (vulnérabilités pas exposées),1822,oui,non,Apache,Inconnue,Joomla,Inconnue,php,Inconnue,46.331388908936098,6.422963971553750
Margency,95369,http://www.mairie-margency.fr,Informations masquées (vulnérabilités pas exposées),2852,oui,non,Apache,Inconnue,WordPress,Inconnue,php,Inconnue,49.001506227150898,2.289291108542230
Margerides,19128,http://www.margerides.fr,Pas à jour,264,oui,non,Apache,2.2,Joomla,1.5,php,5.3.10,45.455836014127300,2.415838001913480
Margival,02464,http://www.margival.fr,Informations masquées (vulnérabilités pas exposées),320,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,49.431774914279302,3.405421778305440
Margny-lès-Compiègne ,60382,http://www.mairie-margnylescompiegne.fr,Informations masquées (vulnérabilités pas exposées),8021,oui,oui,Apache,Inconnue,eZ Publish,Inconnue,php,Inconnue,49.432742651416397,2.805510893935060
Margny-sur-Matz,60383,http://www.margnysurmatz.fr,Niveau de sécurité incertain,515,oui,non,Apache,Inconnue,TYPO3,4.5,php,Inconnue,49.529516619514801,2.779196694643500
Margon,28236,http://www.margon.fr,Pas à jour,1203,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.4.35,48.336767746556397,0.849342359495623
Marguerittes,30156,http://www.marguerittes.fr,Pas à jour,8634,oui,non,Apache,2.2,Joomla,1.5,php,5.3.21,43.861296746545698,4.449508762657110
Mariac,07150,http://www.mariac.fr,À jour,660,oui,non,Apache,Inconnue,SPIP,2.1.25,php,Inconnue,44.885852254421998,4.353137868325940
Marie,06080,http://www.ville-marie.fr,Pas à jour,84,oui,non,Apache,2.0,Inconnue,Inconnue,php,4.4.8,44.034701819294703,7.157850167511310
Marieulles,57445,http://marieulles.free.fr,Informations masquées (vulnérabilités pas exposées),643,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,49.005524535214299,6.110813741734340
Marignane,13054,http://www.marignane.fr,Pas à jour,34485,oui,non,Apache,1.3,Inconnue,Inconnue,Inconnue,Inconnue,43.417580522957500,5.212050383920140
Marigné-Laillé,72187,http://www.marigne-laille.fr,Niveau de sécurité incertain,1539,oui,non,Apache,2.2,Creaville,Inconnue,Inconnue,Inconnue,47.817869939507801,0.351935189653975
Marignier,74164,http://www.marignier.fr,Pas à jour,6159,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.6,46.094958061167702,6.494322785223970
Marigny,50292,http://www.mairie-marigny.com,Pas à jour,2141,oui,non,Lighttp,1.4.28,Inconnue,Inconnue,Inconnue,Inconnue,49.104694789243801,-1.252217587066410
Marigny,79166,http://www.marigny79.fr,Niveau de sécurité incertain,891,oui,non,IIS,7.5,Inconnue,Inconnue,asp.net,Inconnue,46.194650224078799,-0.417242692373118
Marigny,03162,http://www.marigny-allier.fr,Pas à jour,189,oui,non,Apache,2.2,Joomla,1.7,php,5.2.12,46.579257174793902,3.209919769474370
Marigny-Brizay,86146,http://www.marigny-brizay.fr,Niveau de sécurité incertain,1173,oui,non,IIS,7.0,Inconnue,Inconnue,asp.net,Inconnue,46.743805270099998,0.377324637643858
Marigny-en-Orxois,02465,http://www.marignyenorxois.fr,Pas à jour,462,oui,non,Apache,2.2,WebSee,Inconnue,php,5.2.13,49.052833443036199,3.222851289257310
Marigny-le-Châtel,10224,http://www.marignylechatel.fr,Niveau de sécurité incertain,1653,oui,non,IIS,6.0,Inconnue,Inconnue,asp.net,Inconnue,48.401415099068899,3.721585096906700
Marigny-les-Usages,45197,http://www.marignylesusages.fr,Pas à jour,1140,oui,non,Apache,Inconnue,Joomla,1.5,php,4.4.9,47.958718542934001,2.013407295646800
Marigny-Marmande,37148,http://www.marigny-marmande.fr,Pas à jour,605,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,4.4.9,46.976701313717101,0.481845775186255
Marin,74166,http://www.mairie-marin.fr,Niveau de sécurité incertain,1588,oui,non,Apache,2.4,Inconnue,Inconnue,php,5.4.36,46.374313251695803,6.523184906234660
Marines,95370,http://www.marines.fr,Informations masquées (vulnérabilités pas exposées),3254,oui,non,Nginx,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,49.147576702471902,1.983636806493730
Maringes,42138,http://www.mairie-maringes.fr,À jour,640,oui,non,Apache,Inconnue,SPIP,2.1.26,php,Inconnue,45.660509791288398,4.354253325824650
Maringues,63210,http://www.maringues.com,Informations masquées (vulnérabilités pas exposées),2748,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,45.920982728604102,3.339042725638340
Mariol,03163,http://www.ville-mariol.fr,Pas à jour,762,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.5.20,46.025643775993601,3.486395444135160
Marions,33271,http://www.marions.fr,Pas à jour,187,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.3.28,44.374391590569999,-0.089328051959937
Marle,02468,http://www.ville-marle.com,Niveau de sécurité incertain,2351,oui,non,IIS,7.0,Inconnue,Inconnue,asp.net,Inconnue,49.745255160710499,3.764886450814960
Marlenheim,67282,http://www.cc-porteduvignoble.fr,Pas à jour,3711,oui,non,Apache,Inconnue,WordPress,3.4.2,php,Inconnue,48.619074980328897,7.505667997503240
Marlens,74167,http://www.marlens.fr,Informations masquées (vulnérabilités pas exposées),850,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,45.765372148310199,6.351827426505540
Marles-en-Brie,77277,http://www.marlesenbrie.fr,Pas à jour,1433,oui,non,Apache,2.2,Inconnue,Inconnue,php,4.4.8,48.724513526996702,2.889007717623280
Marliens,21388,http://www.marliens.fr,À jour,449,oui,non,Apache,Inconnue,WordPress,Inconnue,php,5.4.37,47.216227953716299,5.178488051139340
Marlieux,01235,http://www.marlieux.com,Niveau de sécurité incertain,887,oui,non,Apache,2.2,Inconnue,Inconnue,php,5.3.10,46.055342506120802,5.074386886789850
Marlioz,74168,http://www.marlioz.fr,Pas à jour,691,oui,non,Apache,Inconnue,Joomla,1.5,php,5.3.29,46.027160615309498,6.008620378219740
Marly,59383,http://www.marly.fr,Pas à jour,11871,oui,non,Apache,2.2,SPIP,1.9.2n,php,5.3.29,50.345480028067598,3.549475986931400
Marly,57447,http://www.marly57.fr,Pas à jour,9707,oui,non,Apache,2.2,Inconnue,Inconnue,php,5.2.13,49.065847977848200,6.152501087245010
Marly-Gomont,02469,http://marlygomont.free.fr,Pas à jour,414,oui,non,Apache,Inconnue,SPIP,1.9.2,php,4.4.3,49.891523720864100,3.784386906417840
Marly-la-Ville,95371,http://www.marly-la-ville.fr,Niveau de sécurité incertain,5472,oui,non,Apache,2.2,Inconnue,Inconnue,Inconnue,Inconnue,49.080851755886897,2.509088207097020
Marly-le-Roi,78372,http://www.marlyleroi.fr,Pas à jour,16614,oui,non,Apache,2.4,Inconnue,Inconnue,php,5.5.17,48.865002198277800,2.091427027382170
Marmagne,18138,http://www.marmagne.fr,Informations masquées (vulnérabilités pas exposées),2041,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,47.089401368434700,2.270927437854640
Marmagne,71282,http://mairie-marmagne.fr,Pas à jour,1249,oui,non,Apache,2.2,Inconnue,Inconnue,php,5.4.4,46.843568418074803,4.371286983448460
Marmande ,47157,http://www.mairie-marmande.fr,Pas à jour,18400,oui,non,Apache,2.2,Inconnue,Inconnue,php,5.3.6,44.505402021244301,0.172256791070378
Marmanhac,15118,http://www.marmanhac.fr,Pas à jour,733,oui,non,Apache,Inconnue,Joomla,1.7,php,5.5.20,45.007343204667499,2.478407137672380
Marnans,38221,http://pagesperso-orange.fr/marnans,Informations masquées (vulnérabilités pas exposées),147,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,45.289836581651898,5.248557891785570
Marnay,70334,http://www.marnay70.com,Pas à jour,1380,oui,non,Nginx,Inconnue,Inconnue,Inconnue,php,4.4.9,47.296918745563900,5.771759524119720
Marnay,86148,http://www.marnay.fr,Pas à jour,631,oui,non,Nginx,Inconnue,Inconnue,Inconnue,php,5.5.20,46.393328385994103,0.347286993511241
Marnay,71283,http://www.mairie-marnay.fr,Informations masquées (vulnérabilités pas exposées),504,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,46.698882398128603,4.925704008216960
Marnay-sur-Seine,10225,http://www.marnay-sur-seine.fr,Pas à jour,246,oui,non,Apache,Inconnue,WordPress,4.1,php,5.5.20,48.515239671554099,3.553647238533600
Marnaz,74169,http://www.mairiedemarnaz.fr,Pas à jour,5169,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.17,46.052229414644998,6.522846033726270
Marnes,79167,http://www.marnes.fr,À jour,241,oui,non,Apache,Inconnue,SPIP,2.1.26,php,Inconnue,46.853465888735400,-0.017914439887233
Marœuil,62557,http://www.maroeuil.fr,Pas à jour,2506,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,4.4.9,50.330816084196897,2.710951840543030
Marolles,14403,http://www.marolles14.fr,Niveau de sécurité incertain,689,oui,non,Apache,2.2,Inconnue,Inconnue,Inconnue,Inconnue,49.137693697040604,0.368434047977382
Marolles-en-Brie,94048,http://www.mairie-marolles.fr,Pas à jour,4968,oui,non,Apache,Inconnue,SPIP,3.0.10,php,5.3.8,48.739566345927699,2.554837348665400
Marolles-en-Hurepoix,91376,http://www.marolles-en-hurepoix.fr,Pas à jour,4812,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.17,48.564552921021502,2.299583765313210
Maromme,76410,http://www.ville-maromme.fr,Informations masquées (vulnérabilités pas exposées),11363,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,49.477381503813199,1.031930677392870
Maron,54352,http://www.mairie-maron.fr,À jour,839,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.4.37,48.658113252816001,6.057362765314460
Marpent,59385,http://www.marpent.fr,À jour,2669,oui,non,Apache,Inconnue,SPIP,2.1.26,php,Inconnue,50.290996895075999,4.076702523461820
Marquay,24255,http://www.marquay.fr,À jour,572,oui,non,Apache,Inconnue,WordPress,4.1,php,Inconnue,44.940822947240299,1.128746686625750
Marquefave,31320,http://www.marquefave.fr,Informations masquées (vulnérabilités pas exposées),1031,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,43.309696847817897,1.258934822033100
Marquette-en-Ostrevant,59387,http://www.marquette-en-ostrevant.fr,À jour,1676,oui,non,Apache,2.2,SPIP,3.0.16,php,5.4.36,50.292254424694697,3.270751731909390
Marquette-lez-Lille,59386,http://www.ville-marquettelezlille.fr,Niveau de sécurité incertain,9797,oui,non,Apache,2.2,eZ Publish,Inconnue,php,Inconnue,50.674136822753397,3.059194725479230
Marquillies,59388,http://www.marquillies.com,Pas à jour,1992,oui,non,Lighttp,1.4.28,Inconnue,Inconnue,Inconnue,Inconnue,50.550592539854101,2.869018317165290
Marquion,62559,http://www.marquion.fr,Pas à jour,956,oui,non,Apache,2.2,Inconnue,Inconnue,php,5.2.10,50.204542112698903,3.096135453771220
Marquise,62560,http://www.ville-marquise.fr,Informations masquées (vulnérabilités pas exposées),5174,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,50.812664365844100,1.699989572883060
Mars,07151,http://www.mairie-mars.fr,À jour,276,oui,non,Apache,Inconnue,SPIP,2.1.25,php,Inconnue,45.010729753169400,4.328984941878870
Mars-sur-Allier,58158,http://www.marssurallier.fr,Pas à jour,283,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.3.29,46.858014965194897,3.087736075882080
Marsac,16210,http://www.cc-braconne-charente.fr,Informations masquées (vulnérabilités pas exposées),815,oui,non,Apache,Inconnue,WordPress,Inconnue,php,Inconnue,45.743211769565200,0.075755877830156
Marsac,23124,http://www.marsac-creuse.fr,Pas à jour,679,oui,non,Apache,Inconnue,WordPress,Inconnue,php,5.3.29,46.100209351476202,1.584258214746240
Marsac-en-Livradois,63211,http://www.cc-livradois.fr,Niveau de sécurité incertain,1447,oui,non,Apache,2.2,Inconnue,Inconnue,Inconnue,Inconnue,45.480347520017901,3.721587946224040
Marsac-sur-Don,44091,http://www.mairie-marsacsurdon.fr,Niveau de sécurité incertain,1447,oui,non,Apache,2.2,Inconnue,Inconnue,Inconnue,Inconnue,47.592376216924698,-1.695443311214210
Marsac-sur-l'Isle,24256,http://www.marsac.org,Pas à jour,2956,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,4.4.9,45.182459615909899,0.651065681451354
Marsalès,24257,http://www.pays-de-bergerac.com,Niveau de sécurité incertain,233,oui,non,IIS,7.5,Inconnue,Inconnue,asp.net,Inconnue,44.700111749070899,0.890889450774331
Marsaneix,24258,http://www.marsaneix.com,Informations masquées (vulnérabilités pas exposées),1028,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,45.090567470788002,0.779197595658574
Marsangy,89245,http://marsangy.chez-alice.fr,Informations masquées (vulnérabilités pas exposées),832,oui,non,Lighttp,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,48.114053101057600,3.245159186479420
Marsannay-la-Côte,21390,http://www.ville-marsannay-la-cote.fr,Informations masquées (vulnérabilités pas exposées),5108,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,47.279161167669898,4.984527797958200
Marsannay-le-Bois,21391,http://www.marsannay-le-bois.fr,Informations masquées (vulnérabilités pas exposées),774,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,47.440623990928302,5.096640394610630
Marseillan,34150,http://www.ville-marseillan.fr,Pas à jour,7883,oui,non,Nginx,Inconnue,Inconnue,Inconnue,php,5.5.20,43.360600803427502,3.547386730844670
Marseille,13055,http://www.marseille.fr,Informations masquées (vulnérabilités pas exposées),850726,oui,non,Apache Tomcat,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,43.296544,5.369845
Marseille 15 et 16ème arrondissement,13215,http://www.mairie15-16.fr,Pas à jour,80808,oui,non,Apache,Inconnue,WordPress,3.9.3,php,5.2.17,43.359130515615298,5.362977251827360
Marseille 6 et 8ème arrondissement,13208,http://www.mairie-marseille6-8.fr,Niveau de sécurité incertain,78065,oui,non,Nginx,1.2.1,Joomla,Inconnue,php,Inconnue,43.241527240226503,5.374467697494200
Marseille 9 et 10ème arrondissement,13209,http://www.marseille9-10.fr,Informations masquées (vulnérabilités pas exposées),74130,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,43.234502340228602,5.452752623662830
Marseille 13 et 14ème arrondissement,13214,http://www.mairie-marseille1314.com,Pas à jour,60949,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.6,43.344763230414500,5.393138961836500
Marseille 11 et 12ème arrondissement,13212,http://www.marseillemairie11-12.fr,Pas à jour,60528,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.3.29,43.308029444513402,5.439603243747780
Marseille 4 et 5ème arrondissement,13205,http://www.marseille4-5.com,À jour,46460,oui,non,Apache,Inconnue,Drupal,7,php,5.4.37,43.292387761401500,5.398170112231840
Marseille 1er et 7ème arrondissement,13201,http://www.mairiedupremiersecteur.fr,Informations masquées (vulnérabilités pas exposées),38972,oui,non,Apache,Inconnue,Joomla,Inconnue,php,Inconnue,43.299986672273903,5.382715254895140
Marseille 2 et 3ème arrondissement,13202,http://www.mairie-marseille2-3.com,Pas à jour,24274,oui,non,Apache,2.2,WordPress,3.5.1,php,5.4.36,43.316142962901900,5.359465483268040
Marseilles-lès-Aubigny,18139,http://www.marseilles-les-aubigny.fr,Informations masquées (vulnérabilités pas exposées),675,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,47.069798228647699,2.994282238861280
Marsillargues,34151,http://www.marsillargues.fr,Pas à jour,6088,oui,non,Apache,2.4,Inconnue,Inconnue,php,5.5.17,43.626778932015000,4.148191264548880
Marsilly,17222,http://www.marsilly.fr,Niveau de sécurité incertain,2619,oui,non,Apache,2.2,Inconnue,Inconnue,Inconnue,Inconnue,46.228144775642299,-1.133988345842740
Marsilly,57449,http://www.marsilly57.fr,Pas à jour,501,oui,non,Apache,Inconnue,WordPress,4.1,php,5.2.17,49.095431345227802,6.307294259089190
Marssac-sur-Tarn,81156,http://marssac-sur-tarn.fr,Pas à jour,2930,oui,non,Nginx,Inconnue,Inconnue,Inconnue,php,5.5.20,43.910576518667298,2.036470934379440
Martel,46185,http://www.martel.fr,Pas à jour,1650,oui,non,Apache,2.2,Inconnue,Inconnue,php,4.4.8,44.940613631081398,1.607731181954920
Marthille,57451,http://www.mairie-marthille.fr,À jour,184,oui,non,Apache,Inconnue,SPIP,2.1.26,php,Inconnue,48.930201838496203,6.559382554232910
Marthon,16211,http://www.mairie-marthon.com,Pas à jour,603,oui,non,Apache,Inconnue,Joomla,1.5,php,5.3.29,45.617442290842597,0.445775956227611
Martignas-sur-Jalle,33273,http://www.ville-martignas.fr,Niveau de sécurité incertain,7227,oui,non,Apache,Inconnue,TYPO3,4.5,php,Inconnue,44.845116795524497,-0.796298036426500
Martignat,01237,http://www.martignat.com,Niveau de sécurité incertain,1604,oui,non,IIS,7.5,Inconnue,Inconnue,asp.net,Inconnue,46.202796004552297,5.613669461247770
Martigné-Ferchaud,35167,http://www.ville-martigneferchaud.fr,Niveau de sécurité incertain,2663,oui,non,Apache,2.2,Inconnue,Inconnue,Inconnue,Inconnue,47.828524303885999,-1.327676562486200
Martigné-sur-Mayenne,53146,http://www.martigne.com,Informations masquées (vulnérabilités pas exposées),1653,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,48.202611499113601,-0.660838626608290
Martigny-les-Bains,88289,http://martignylesbains.free.fr,Pas à jour,845,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,4.4.3,48.110568399686599,5.817754790406550
Martigues ,13056,http://www.ville-martigues.fr,Niveau de sécurité incertain,47544,oui,non,Nginx,Inconnue,TYPO3,4.5,php,Inconnue,43.381024158252401,5.049974046545760
Martillac,33274,http://www.martillac.fr,À jour,2487,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.4.37,44.715491224544998,-0.557102983783869
Martin-Église,76414,http://www.martineglise.fr,À jour,1542,oui,non,Apache,Inconnue,WordPress,4.0.1,php,5.4.37,49.909742008636400,1.131761713777680
Martinet,85138,http://www.communedemartinet.fr,Informations masquées (vulnérabilités pas exposées),870,oui,non,Apache,Inconnue,WordPress,Inconnue,php,Inconnue,46.661784943896201,-1.676948328798720
Martinvast,50294,http://www.martinvast.fr,Pas à jour,1189,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,4.4.9,49.598021486775799,-1.648053858199710
Martizay,36113,http://www.martizay.fr,Pas à jour,1045,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.13,46.800431292586403,1.039262008766520
Martres,33275,http://www.martres.fr,Pas à jour,132,oui,non,LiteSpeed,Inconnue,Joomla,Inconnue,php,5.3.29,44.707247305929698,-0.168360995336578
Martres-Tolosane,31324,http://www.mairie-martres-tolosane.fr,Informations masquées (vulnérabilités pas exposées),2231,oui,non,Lotus-Domino,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,43.202149384442698,1.001642060110200
Marval,87092,http://www.mairiedemarval.fr,Informations masquées (vulnérabilités pas exposées),584,oui,non,SiteW,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,45.634469100003898,0.795708076910111
Marvejols,48092,http://www.ville-marvejols.fr,Informations masquées (vulnérabilités pas exposées),5053,oui,non,Nginx,Inconnue,Joomla,Inconnue,php,Inconnue,44.557744647069597,3.287990982189730
Mary-sur-Marne,77280,http://www.mary-sur-marne.fr,Pas à jour,1203,oui,non,Apache,Inconnue,SPIP,1.9.2f,php,4.4.9,49.015588287856701,3.033626737193230
Marzan,56126,http://www.marzan.fr/,Niveau de sécurité incertain,2004,oui,non,Apache,2.2,WordPress,Inconnue,php,5.4.36,47.541326041168404,-2.353457879233830
Marzens,81157,http://www.mairie-marzens.fr,Pas à jour,303,oui,non,Nginx,Inconnue,Inconnue,Inconnue,php,5.5.20,43.654676785323403,1.842873264135650
Marzy,58160,http://www.commune-de-marzy.fr,Pas à jour,3576,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.3.29,46.983976390126401,3.092110023946590
Mas-Cabardès,11222,http://mas-cabardes.wix.com/mas-cabardes,Informations masquées (vulnérabilités pas exposées),200,oui,oui,Wix,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,43.398780484641598,2.357755460337650
Mas-d'Orcières,48093,http://www.bleymard-montlozere.com,Pas à jour,124,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.17,44.456104972752499,3.711840473581760
Mas-Grenier,82105,http://www.mas-grenier.fr,Niveau de sécurité incertain,1164,oui,non,Apache,Inconnue,TYPO3,4.5,php,5.4.36,43.895094402585897,1.181781353059800
Mas-Saintes-Puelles,11225,http://sites.google.com/site/mairiemassaintespuelles/,Informations masquées (vulnérabilités pas exposées),900,oui,oui,Google,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,43.313878880266401,1.877355960777930
Masclat,46186,http://www.masclat.fr,Informations masquées (vulnérabilités pas exposées),347,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,44.832694014858198,1.380497108963220
Masevaux,68201,http://www.masevaux.fr,À jour,3300,oui,non,Apache,Inconnue,WordPress,4.1,php,Inconnue,47.777391354933897,6.994263583602280
Maslacq,64367,http://www.maslacq.fr,Informations masquées (vulnérabilités pas exposées),825,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,43.426402017953997,-0.698878458107923
Masléon,87093,http://www.masleon.fr,À jour,349,oui,non,Apache,Inconnue,SPIP,2.1.26,php,Inconnue,45.766966236597703,1.574773736590000
Masny,59390,http://www.ville-masny.fr,Pas à jour,4361,oui,non,Apache,Inconnue,WordPress,3.9.3,php,5.3.29,50.341006173605898,3.195450988739640
Massaguel,81160,http://www.massaguel.fr,Informations masquées (vulnérabilités pas exposées),422,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,43.475984409418800,2.176540762866590
Massanes,30161,http://www.massanes.fr,Pas à jour,192,oui,non,Apache,Inconnue,WordPress,Inconnue,php,5.3.29,44.022863507012403,4.111183450379200
Masseilles,33276,http://www.masseilles.fr,Pas à jour,127,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.3.28,44.402839689285202,-0.058754062085101
Masseube,32242,http://www.mairie-masseube.fr,Pas à jour,1604,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.5.10,43.432067790800303,0.585749528682343
Massiac,15119,http://www.massiac.fr,Pas à jour,1829,oui,non,Nginx,Inconnue,Inconnue,Inconnue,php,5.5.20,45.245406363057199,3.199499730794610
Massieux,01238,http://www.mairie-de-massieux.fr,Informations masquées (vulnérabilités pas exposées),2428,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,45.909286711075502,4.826834421623420
Massingy-lès-Vitteaux,21395,http://massingy-les-vitteaux.fr,Informations masquées (vulnérabilités pas exposées),88,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,47.395440751141898,4.589651469555510
Massognes,86150,http://massognes.free.fr,Informations masquées (vulnérabilités pas exposées),283,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,46.748150599265401,0.056995929917549
Massoins,06082,http://www.massoins.fr,Pas à jour,125,oui,non,Apache,Inconnue,WordPress,3.4.1,php,5.3.3,43.948415471427097,7.124708727884290
Massongy,74171,http://www.massongy.fr,Niveau de sécurité incertain,1424,oui,non,Apache,2.2,Inconnue,Inconnue,Inconnue,Inconnue,46.323295703660399,6.324960118773110
Massy,91377,http://www.ville-massy.fr,Informations masquées (vulnérabilités pas exposées),42258,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,48.727531212270002,2.275194488451140
Mastaing,59391,http://www.mastaing.fr,Pas à jour,909,oui,non,Nginx,Inconnue,Inconnue,Inconnue,php,5.5.20,50.306893239587701,3.298059249448380
Matemale,66105,http://www.matemale.fr,Niveau de sécurité incertain,287,oui,non,Apache,2.2,Inconnue,Inconnue,php,5.3.10,42.576892334708099,2.115552192658240
Matha,17224,http://www.matha-mairie17.fr,Pas à jour,2166,oui,non,Apache,Inconnue,Joomla,1.5,php,5.2.5,45.863733114664200,-0.314718495557837
Mathay,25370,http://www.mathay.fr,Informations masquées (vulnérabilités pas exposées),2151,oui,non,Apache,Inconnue,IziSpot,4.60,Inconnue,Inconnue,47.442851300124097,6.770701648257960
Mathenay,39319,http://ccavv.arbois.com,Informations masquées (vulnérabilités pas exposées),130,oui,non,Nginx,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,46.929852350484403,5.679546538972870
Mathieu,14407,http://www.commune-mathieu.fr,Pas à jour,1940,oui,non,Apache,Inconnue,Joomla,Inconnue,php,5.4.35,49.256304732181803,-0.366579082461995
Mathons,52316,http://www.mathons.fr,Niveau de sécurité incertain,60,oui,non,Apache,2.2,Inconnue,Inconnue,Inconnue,Inconnue,48.415669492607599,5.038812805889620
Matour,71289,http://www.matour.fr,Pas à jour,1078,oui,non,Apache,Inconnue,WordPress,4.1,php,5.2.17,46.311111486476797,4.477719030639480
Mattaincourt,88292,http://www.mattaincourt.fr,Niveau de sécurité incertain,850,oui,non,Apache,2.2,WebDev,Inconnue,Inconnue,Inconnue,48.278011981196897,6.129231304494540
Matzenheim,67285,http://www.matzenheim.fr,Pas à jour,1446,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,4.4.9,48.384755226263799,7.635309244943360
Maubec,84071,http://www.mairiemaubec-luberon.fr,Pas à jour,1874,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.3.29,43.841987991984603,5.137179146973610
Maubec,38223,http://www.maubec-isere.fr,Informations masquées (vulnérabilités pas exposées),1608,oui,non,Google,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,45.566133791730898,5.258357097290060
Maubec,82106,http://www.coll82.com/maubec,Pas à jour,143,oui,non,Apache,1.3,e.Magnus,Inconnue,Inconnue,Inconnue,43.803472515542801,0.923557103486663
Maubeuge ,59392,http://www.ville-maubeuge.fr,Pas à jour,31046,oui,non,Apache,2.4,Joomla,Inconnue,php,5.4.7,50.284265436921103,3.963221767784400
Maubeuge ,59225,http://www.ville-maubeuge.fr/,Pas à jour,7222,oui,non,Apache,2.4,Joomla,Inconnue,php,5.4.7,50.294973751054897,3.909136631121480
Maubourguet,65304,http://www.maubourguet.fr,Niveau de sécurité incertain,2462,oui,non,Apache,2.4,Joomla,Inconnue,php,5.4.36,43.469137378217297,0.044529488568578
