Commune,Code Insee,url,Catégorie,Population,Site,https,Serveur,Version du serveur,Application,Version de l'application,Langage,Version du langage,Latitude,Longitude
Aigrefeuille,31003,http://www.aigrefeuille.fr,Pas à jour,1077,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.10,43.569188194330998,1.585158124910660
Aigrefeuille-d'Aunis,17003,http://www.mairie-aigrefeuille.fr,Informations masquées (vulnérabilités pas exposées),3707,oui,non,Nginx,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,46.116847556851603,-0.944418095797947
Aigrefeuille-sur-Maine,44002,http://www.aigrefeuillesurmaine.com,Niveau de sécurité incertain,3320,oui,non,Apache,2.2,Creaville,Inconnue,Inconnue,Inconnue,47.071500325873302,-1.415451948338720
Aigremont,78007,http://www.mairie-aigremont-78.fr,Informations masquées (vulnérabilités pas exposées),1099,oui,non,Apache,Inconnue,e.Magnus,Inconnue,Inconnue,Inconnue,48.900894692164002,2.016337839263540
Aiguebelle,73002,http://mairie.aiguebelle.free.fr,Informations masquées (vulnérabilités pas exposées),1154,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,45.533331176591297,6.304788525760830
Aigueblanche,73003,http://www.ville-aigueblanche.fr,Pas à jour,3117,oui,non,Apache,2.2,Inconnue,Inconnue,php,5.3.8,45.519865867184599,6.514084522942800
Aigueperse,63001,http://www.aigueperse.fr,Informations masquées (vulnérabilités pas exposées),2561,oui,non,Apache,Inconnue,Joomla,Inconnue,php,Inconnue,46.014308235047402,3.202049385164800
Aigues-Mortes,30003,http://www.ville-aigues-mortes.fr,Pas à jour,8341,oui,non,Nginx,Inconnue,Joomla,1.5,php,5.3.3,43.550515423427797,4.184226537037890
Aigues-Vives,30004,http://www.aigues-vives.fr,Pas à jour,2990,oui,non,Apache,Inconnue,SPIP,1.9.1,php,4.3.11,43.734346826859799,4.191081994987080
Aigues-Vives,09002,http://aigues-vives09.fr,Pas à jour,577,oui,non,Nginx,Inconnue,Inconnue,Inconnue,php,5.5.20,43.000602680325997,1.876884418407220
Aigues-Vives,34007,http://www.aiguesvives-herault.fr,Informations masquées (vulnérabilités pas exposées),429,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,43.347907954653600,2.825246985557360
Aiguèze,30005,http://mairieaigueze.blogspot.fr,Informations masquées (vulnérabilités pas exposées),230,oui,oui,Google,Inconnue,Blogger,Inconnue,Inconnue,Inconnue,44.316513589954297,4.517117917984400
Aiguilhe,43002,http://www.aiguilhe.fr,Pas à jour,1585,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.17,45.053008547418202,3.885641699447930
Aiguillon,47004,http://www.ville-aiguillon.eu,Niveau de sécurité incertain,4320,oui,non,Apache,Inconnue,TYPO3,4.5,php,Inconnue,44.301180507965398,0.357819515443770
Aiguines,83002,http://www.aiguines.com,Pas à jour,261,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.3.29,43.728727033566699,6.304385062183020
Aigurande,36001,http://www.aigurande.fr,Pas à jour,1567,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.17,46.455753242445702,1.840068019045130
Ailhon,07002,http://www.ailhon.fr,Pas à jour,502,oui,non,Apache,Inconnue,SPIP,1.9.2i,php,Inconnue,44.597831736413198,4.332833391758810
Aillant-sur-Milleron,45002,http://www.aillantsurmilleron.fr,À jour,389,oui,non,Apache,Inconnue,SPIP,2.1.26,php,Inconnue,47.795009104378700,2.937103911066320
Ailly-sur-Noye,80010,http://www.mairie-aillysurnoye.fr,Pas à jour,2805,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.17,49.746593351495100,2.346595510969160
Ailly-sur-Somme,80011,http://www.mairie-ailly-sur-somme.fr,Informations masquées (vulnérabilités pas exposées),3157,oui,non,Nginx,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,49.913136175218099,2.186305869349260
Aimargues,30006,http://www.aimargues.fr,Niveau de sécurité incertain,4313,oui,non,Apache,2.2,eZ Publish,Inconnue,php,Inconnue,43.671845482230999,4.203894146767840
Aime ,73006,http://www.ville-aime.fr,Pas à jour,3501,oui,non,Apache,Inconnue,WordPress,Inconnue,php,5.2.17,45.552712330087303,6.618594903085340
Ainay-le-Château,03003,http://www.ainay-le-chateau.fr,Informations masquées (vulnérabilités pas exposées),1050,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,46.715674985584101,2.720492319682720
Aincourt,95008,http://www.aincourt.fr,À jour,972,oui,non,Apache,Inconnue,Joomla,Inconnue,php,5.5.21,49.072554241102701,1.773657955983350
Ainhoa,64014,http://www.ainhoa.fr,Pas à jour,683,oui,non,Apache,2.2,TYPO3,4.5,php,5.2.13,43.297505840470798,-1.485195737848140
Airaines,80013,http://www.mairie-airaines.fr,Pas à jour,2304,oui,non,Apache,2.2,WordPress,Inconnue,php,5.3.29,49.972110416836102,1.944748597912800
Airan,14005,http://www.airan.fr,Pas à jour,686,oui,non,Lighttp,1.4.28,Inconnue,Inconnue,Inconnue,Inconnue,49.095099866435099,-0.145451239612470
Aire-sur-l'Adour,40001,http://www.aire-sur-adour.fr,Niveau de sécurité incertain,6279,oui,non,Apache,2.2,eZ Publish,Inconnue,php,Inconnue,43.699115877262898,-0.264631183136088
Aire-sur-la-Lys ,62014,http://www.ville-airesurlalys.fr,Niveau de sécurité incertain,9861,oui,non,IIS,7.5,Inconnue,Inconnue,asp.net,Inconnue,50.644297283048900,2.395460206157980
Airvault,79005,http://www.airvault.fr,Pas à jour,3074,oui,non,Nginx,Inconnue,Inconnue,Inconnue,php,5.5.20,46.832935412997401,-0.134971099566005
Aiserey,21005,http://www.mairie-aiserey.fr,Informations masquées (vulnérabilités pas exposées),1352,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,47.172751752973802,5.169074655167920
Aiton,73007,http://www.aiton.fr,À jour,1774,oui,non,Apache,Inconnue,WordPress,4.0.1,php,5.4.36,45.573273610921703,6.256763754979020
Aix-en-Othe,10003,http://www.aix-en-othe.jimdo.com,Pas à jour,2434,oui,non,Lighttp,1.4.28,Inconnue,Inconnue,Inconnue,Inconnue,48.197583761286900,3.735920311128570
Aix-en-Provence,13001,http://www.mairie-aixenprovence.fr,À jour,141438,oui,non,Apache,2.2,SPIP,3.0.17,php,5.4.36,43.536166263125899,5.398607628191970
Aix-les-Bains,73008,http://www.aixlesbains.fr,Informations masquées (vulnérabilités pas exposées),27750,oui,non,Apache,Inconnue,eZ Publish,Inconnue,php,Inconnue,45.697253770052299,5.904846353760550
Aix-Noulette,62019,http://www.aix-noulette.fr,À jour,3843,oui,non,Apache,Inconnue,SPIP,2.1.26,php,Inconnue,50.421138543728802,2.712526230819610
Aixe-sur-Vienne,87001,http://www.mairie-aixesurvienne.fr,Pas à jour,5472,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.4.24,45.798205334735300,1.131716273175320
Aizac,07003,http://www.aizac.fr,Informations masquées (vulnérabilités pas exposées),154,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,44.720041330940298,4.330163215836990
Aizenay,85003,http://www.aizenay.eu,Pas à jour,8107,oui,non,Apache,Inconnue,Joomla,1.5,php,5.2.17,46.738519823743999,-1.626668161746210
Aizier,27006,http://www.aizier.fr,Pas à jour,128,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.17,49.429996413069297,0.625911048364707
Ajac,11003,http://www.cc-lsh.fr/ajac,Informations masquées (vulnérabilités pas exposées),198,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,43.044672416196903,2.136457418044060
Ajaccio  ,2A004,http://www.ajaccio.fr,Informations masquées (vulnérabilités pas exposées),65542,oui,non,WMaker,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,41.934734827607301,8.700679787329859
Ajoux,07004,http://www.ajoux.fr,Informations masquées (vulnérabilités pas exposées),95,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,44.754644103570001,4.485145289362930
Alaincourt,02009,http://alaincourt-aisne.fr,À jour,503,oui,non,Apache,Inconnue,WordPress,4.1,php,5.4.37,49.766376938584301,3.367135946889400
Alairac,11005,http://www.mairie-alairac.fr,Informations masquées (vulnérabilités pas exposées),1279,oui,non,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,43.181774245717698,2.235699872196600
Alba-la-Romaine,07005,http://www.alba-la-romaine.fr,À jour,1407,oui,non,Apache,Inconnue,SPIP,2.1.25,php,Inconnue,44.554278909333597,4.595511199868870
Alban,81003,http://www.monts-alban.fr,Informations masquées (vulnérabilités pas exposées),992,oui,non,Apache,Inconnue,eZ Publish,Inconnue,php,Inconnue,43.884593553246702,2.456194120342140
Albas,46001,http://www.albas.fr,Niveau de sécurité incertain,516,oui,non,Apache,2.2,e.Magnus,Inconnue,Inconnue,Inconnue,44.461359062679897,1.240823159070000
Albens,73010,http://www.cc-cantonalbens.fr,Pas à jour,3231,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.6,45.789882701349200,5.937221614952360
Albert ,80016,http://www.ville-albert.fr,Pas à jour,9774,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.6,50.003898633822601,2.648831195503290
Albertville ,73011,http://www.albertville.fr,Niveau de sécurité incertain,18876,oui,non,Apache,2.2,TYPO3,4.5,php,5.3.3,45.668299061431597,6.404338932834670
Albi  ,81004,http://www.mairie-albi.fr,Informations masquées (vulnérabilités pas exposées),48916,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,43.926095177923699,2.147338587942740
Albiez-le-Jeune,73012,http://www.mairie-albiezlejeune.fr,Pas à jour,121,oui,non,Lighttp,1.4.28,Inconnue,Inconnue,Inconnue,Inconnue,45.239257899013097,6.358266496180100
Albiez-Montrond,73013,http://lesalbiez.com,Pas à jour,381,oui,non,Apache,Inconnue,WordPress,Inconnue,php,5.3.29,45.188710917332202,6.339622660019390
Albigny-sur-Saône,69003,http://www.mairie-albignysursaone.fr,Pas à jour,2743,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.17,45.864068956624401,4.830635968012210
Albon-d'Ardèche,07006,http://www.albon-d-ardeche.fr,Pas à jour,156,oui,non,Apache,Inconnue,SPIP,2.1.12,php,Inconnue,44.815036460350797,4.425161779128420
Albussac,19004,http://www.albussac.correze.net,Informations masquées (vulnérabilités pas exposées),693,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,45.141317224557604,1.813980808074890
Alby-sur-Chéran,74002,http://www.mairie-alby-sur-cheran.fr,Informations masquées (vulnérabilités pas exposées),2012,oui,non,Nginx,Inconnue,Joomla,Inconnue,php,Inconnue,45.815668540562100,6.016024966162410
Alençon ,61001,http://www.ville-alencon.fr,Niveau de sécurité incertain,26704,oui,non,IIS,6.0,Inconnue,Inconnue,asp.net,Inconnue,48.431563250802398,0.091615488063345
Alénya,66002,http://www.alenya.fr,Pas à jour,3133,oui,non,Apache,Inconnue,Joomla,Inconnue,php,5.3.29,42.640924119285302,2.981499123509710
Aléria,2B009,http://www.aleria.fr,Informations masquées (vulnérabilités pas exposées),2067,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,42.106100122678100,9.495993204486430
Alès,30007,http://www.alescevennes.fr,Informations masquées (vulnérabilités pas exposées),41205,oui,non,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,44.125132642267701,4.088568175961290
Alet-les-Bains,11008,http://www.aletlesbains.com,Informations masquées (vulnérabilités pas exposées),431,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,42.994154259693602,2.258756360938000
Alex,74003,http://www.alex-village.com,Pas à jour,985,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.17,45.880995831367599,6.236294597105960
Aleyrac,26003,http://www.aleyrac.fr,Informations masquées (vulnérabilités pas exposées),51,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,44.499143351142102,4.946113436469160
Alfortville ,94002,http://alfortville.fr,Pas à jour,44201,oui,non,Apache,Inconnue,Joomla,1.5,php,5.3.3,48.796238767034403,2.421329485488110
Algolsheim,68001,http://www.algolsheim.fr,Informations masquées (vulnérabilités pas exposées),1178,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,48.003187558416599,7.550000412313730
Algrange,57012,http://www.ville-algrange.fr,Informations masquées (vulnérabilités pas exposées),6544,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,49.364694125131201,6.047827683843160
Alignan-du-Vent,34009,http://www.cc-pays-de-thongue.fr,Pas à jour,1575,oui,non,Apache,2.2,SPIP,1.9.2h,php,Inconnue,43.468876128513500,3.339596396761660
Alise-Sainte-Reine,21008,http://www.mairie-alise-sainte-reine.fr,Informations masquées (vulnérabilités pas exposées),617,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,47.535601384472500,4.488294162540120
Alissas,07008,http://www.alissas.fr,Pas à jour,1371,oui,non,Nginx,Inconnue,Inconnue,Inconnue,php,5.5.20,44.706918181758702,4.623970079267740
Alix,69004,http://www.alix-village.fr,Informations masquées (vulnérabilités pas exposées),692,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,45.917088549512599,4.653795164405560
Alixan,26004,http://www.alixan-mairie.fr,Informations masquées (vulnérabilités pas exposées),2408,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,44.982225576929601,5.017119361368590
Alizay,27008,http://www.alizay.fr,Informations masquées (vulnérabilités pas exposées),1410,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,49.322129420945600,1.178396878564540
Allain,54008,http://mairiedallain.free.fr,Pas à jour,476,oui,non,Apache,Inconnue,SPIP,2.1.2,php,4.4.3,48.549741110399303,5.920976856950520
Allainville,78009,http://www.allainville-aux-bois.fr,Pas à jour,302,oui,non,Nginx,Inconnue,Inconnue,Inconnue,php,5.5.20,48.467540728130999,1.902708981164880
Allaire,56001,http://www.allaire.fr,Pas à jour,3658,oui,non,Apache,Inconnue,SPIP,1.9.2e,php,5.4.37,47.639318346363297,-2.177316014555670
Allamps,54010,http://www.allamps.fr,Informations masquées (vulnérabilités pas exposées),511,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,48.548685330212898,5.814875138382480
Allarmont,88005,http://www.mairie-allarmont.fr,Informations masquées (vulnérabilités pas exposées),234,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,48.469060597620199,7.020669248786010
Allassac,19005,http://www.allassac-correze.com,Niveau de sécurité incertain,3796,oui,non,Apache,2.2,Inconnue,Inconnue,php,5.3.3,45.255850223718802,1.469447636139460
Allauch ,13002,http://www.allauch.com,Pas à jour,19521,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.17,43.353319964007802,5.511411944987530
Allègre,43003,http://www.mairie-allegre.com,Pas à jour,987,oui,non,Apache,Inconnue,Joomla,1.5,php,5.2.17,45.189017497650603,3.690437795249610
Allègre-les-Fumades,30008,http://www.allegre-les-fumades.fr,Pas à jour,793,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.17,44.197536114830001,4.253131737681120
Alleins,13003,http://www.alleins.com,Pas à jour,2414,oui,non,Apache,2.2,Inconnue,Inconnue,php,5.2.10,43.707463021812202,5.151483028199160
Allemans-du-Dropt,47005,http://www.allemansdudropt.com,Informations masquées (vulnérabilités pas exposées),481,oui,non,Nginx,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,44.623396946231701,0.286436163099650
